,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
74,Coventry, Bramcote,52.5222012,-1.4677622,7,Clothing Store,Furniture / Home Store,Sandwich Place,Coffee Shop,Pharmacy,Pizza Place,Pub,Museum,Nightclub,Bistro
75,Coventry,except Exhall and Ash Green,52.4748127,-1.4760862,9,Grocery Store,Indian Restaurant,Wine Shop,Coffee Shop,Historic Site,Gym / Fitness Center,General Entertainment,Furniture / Home Store,Fish & Chips Shop,Fast Food Restaurant
76,Coventry, Bulkington,52.4748127,-1.4760862,9,Grocery Store,Indian Restaurant,Wine Shop,Coffee Shop,Historic Site,Gym / Fitness Center,General Entertainment,Furniture / Home Store,Fish & Chips Shop,Fast Food Restaurant
77,Coventry,north,52.3997101,-1.5313387981891347,0,Indian Restaurant,Pub,Italian Restaurant,Beer Store,Park,Persian Restaurant,Café,Sandwich Place,Restaurant,Supermarket
78,Coventry, Brownsover,52.3997101,-1.5313387981891347,0,Indian Restaurant,Pub,Italian Restaurant,Beer Store,Park,Persian Restaurant,Café,Sandwich Place,Restaurant,Supermarket
79,Coventry,south,52.3376448,-1.2912497,5,Indian Restaurant,Restaurant,Pub,Coffee Shop,Historic Site,Gym / Fitness Center,Grocery Store,General Entertainment,Furniture / Home Store,Fish & Chips Shop
80,Coventry, Bilton,52.3376448,-1.2912497,5,Indian Restaurant,Restaurant,Pub,Coffee Shop,Historic Site,Gym / Fitness Center,Grocery Store,General Entertainment,Furniture / Home Store,Fish & Chips Shop
81,Coventry, Cawston,52.3376448,-1.2912497,5,Indian Restaurant,Restaurant,Pub,Coffee Shop,Historic Site,Gym / Fitness Center,Grocery Store,General Entertainment,Furniture / Home Store,Fish & Chips Shop
82,Coventry, Dunchurch,52.3376448,-1.2912497,5,Indian Restaurant,Restaurant,Pub,Coffee Shop,Historic Site,Gym / Fitness Center,Grocery Store,General Entertainment,Furniture / Home Store,Fish & Chips Shop
87,Coventry,north,52.3997101,-1.5313387981891347,0,Indian Restaurant,Pub,Italian Restaurant,Beer Store,Park,Persian Restaurant,Café,Sandwich Place,Restaurant,Supermarket
88,Coventry, Cubbington,52.3997101,-1.5313387981891347,0,Indian Restaurant,Pub,Italian Restaurant,Beer Store,Park,Persian Restaurant,Café,Sandwich Place,Restaurant,Supermarket
89,Coventry, Lillington,52.3997101,-1.5313387981891347,0,Indian Restaurant,Pub,Italian Restaurant,Beer Store,Park,Persian Restaurant,Café,Sandwich Place,Restaurant,Supermarket
